N-gram,TF,DF,TF-IDF,TF期望值,DF期望值,TF卡方值(保留正負號),DF卡方值(保留正負號),MI(用DF),Lift(用DF)
鴻海,4259.0,2442.0,3.18539495213984,2407.26086956522,1380.26086956522,1424.41471571906,816.722408026756,-4.07583882597469,1.76923076923077
供應鏈,2740.0,1516.0,3.97240637322052,1548.69565217391,856.869565217391,916.38795986622,507.023411371237,-4.07583882597469,1.76923076923077
聯準會,1906.0,1189.0,4.28293481444532,1077.30434782609,672.04347826087,637.458193979933,397.658862876254,-4.07583882597469,1.76923076923077
銀行融資,1546.0,737.0,5.06212067657329,876.652173913043,418.826086956522,511.065306879368,241.710442816586,-4.07818954609496,1.75968026575314
工業,1516.0,1069.0,4.37661145145391,856.869565217391,604.217391304348,507.023411371237,357.52508361204,-4.07583882597469,1.76923076923077
晶圓代工,1347.0,886.0,4.65959947166791,761.347826086957,500.782608695652,450.501672240802,296.321070234114,-4.07583882597469,1.76923076923077
美債,1292.0,594.0,5.35307914479908,730.260869565217,335.739130434783,432.107023411371,198.66220735786,-4.07583882597469,1.76923076923077
賣壓,1278.0,952.0,4.50569336319606,722.347826086957,538.086956521739,427.42474916388,318.394648829431,-4.07583882597469,1.76923076923077
籌碼,1189.0,948.0,4.47874910496467,672.04347826087,535.826086956522,397.658862876254,317.056856187291,-4.07583882597469,1.76923076923077
配息,1186.0,387.0,6.06275893363628,670.347826086957,218.739130434783,396.655518394649,129.43143812709,-4.07583882597469,1.76923076923077
黃仁勳,1155.0,471.0,5.69906280425536,652.826086956522,266.217391304348,386.28762541806,157.52508361204,-4.07583882597469,1.76923076923077
航運,1154.0,746.0,4.88723980250589,652.260869565217,421.652173913043,385.953177257525,249.498327759197,-4.07583882597469,1.76923076923077
群創,1098.0,563.0,5.35513324142137,620.608695652174,318.217391304348,367.224080267558,188.294314381271,-4.07583882597469,1.76923076923077
低點,1060.0,773.0,4.78069207526291,599.130434782609,436.913043478261,354.515050167224,258.528428093645,-4.07583882597469,1.76923076923077
融券,1026.0,467.0,5.64176678919885,579.913043478261,263.95652173913,343.14381270903,156.1872909699,-4.07583882597469,1.76923076923077
系統,1013.0,638.0,5.09120229586304,572.565217391304,360.608695652174,338.795986622074,213.377926421405,-4.07583882597469,1.76923076923077
競爭,1001.0,652.0,5.04691254931222,565.782608695652,368.521739130435,334.782608695652,218.060200668896,-4.07583882597469,1.76923076923077
電腦,987.0,606.0,5.16611480456647,557.869565217391,342.521739130435,330.10033444816,202.675585284281,-4.07583882597469,1.76923076923077
世芯,966.0,651.0,5.03006860970357,546.0,367.95652173913,323.076923076923,217.725752508361,-4.07583882597469,1.76923076923077
大立光,959.0,709.0,4.87849465538171,542.04347826087,400.739130434783,320.735785953177,237.123745819398,-4.07583882597469,1.76923076923077
長榮航,956.0,637.0,5.06194588801443,540.347826086957,360.04347826087,319.732441471572,213.04347826087,-4.07583882597469,1.76923076923077
研發,931.0,508.0,5.43736229043535,526.217391304348,287.130434782609,311.371237458194,169.899665551839,-4.07583882597469,1.76923076923077
大法人賣,931.0,309.0,6.29427929551362,526.217391304348,174.652173913043,311.371237458194,103.344481605351,-4.07583882597469,1.76923076923077
中央社,928.0,869.0,4.51038411927401,524.521739130435,491.173913043478,310.367892976588,290.635451505017,-4.07583882597469,1.76923076923077
台達,917.0,724.0,4.81863837844287,518.304347826087,409.217391304348,306.688963210702,242.140468227425,-4.07583882597469,1.76923076923077
魏哲家,903.0,347.0,6.07399553096965,510.391304347826,196.130434782609,302.006688963211,116.053511705686,-4.07583882597469,1.76923076923077
中華,875.0,592.0,5.13847498134291,494.565217391304,334.608695652174,292.642140468228,197.993311036789,-4.07583882597469,1.76923076923077
微軟,865.0,578.0,5.17288872177572,488.913043478261,326.695652173913,289.297658862876,193.311036789298,-4.07583882597469,1.76923076923077
特斯拉,863.0,569.0,5.19839399669318,487.782608695652,321.608695652174,288.628762541806,190.301003344482,-4.07583882597469,1.76923076923077
陽明,860.0,609.0,5.0803091231457,486.086956521739,344.217391304348,287.625418060201,203.678929765886,-4.07583882597469,1.76923076923077
汽車,852.0,529.0,5.31546029553929,481.565217391304,299.0,284.94983277592,176.923076923077,-4.07583882597469,1.76923076923077
奈米製程,851.0,444.0,5.61373089322041,481.0,250.95652173913,284.615384615385,148.494983277592,-4.07583882597469,1.76923076923077
庫存,847.0,475.0,5.49567928394403,478.739130434783,268.478260869565,283.277591973244,158.862876254181,-4.07583882597469,1.76923076923077
現金,841.0,508.0,5.37687284055631,475.347826086957,287.130434782609,281.270903010033,169.899665551839,-4.07583882597469,1.76923076923077
技術面,802.0,617.0,5.01902565600564,453.304347826087,348.739130434783,268.227424749164,206.354515050167,-4.07583882597469,1.76923076923077
友達,773.0,489.0,5.39107738481357,436.913043478261,276.391304347826,258.528428093645,163.545150501672,-4.07583882597469,1.76923076923077
材料,768.0,489.0,5.38716976361471,434.086956521739,276.391304347826,256.85618729097,163.545150501672,-4.07583882597469,1.76923076923077
創意,764.0,515.0,5.29666203493985,431.826086956522,291.086956521739,255.51839464883,172.240802675585,-4.07583882597469,1.76923076923077
自營商賣,752.0,514.0,5.29055556558373,425.04347826087,290.521739130435,251.505016722408,171.90635451505,-4.07583882597469,1.76923076923077
日月光投控,734.0,597.0,5.02488105614834,414.869565217391,337.434782608696,245.484949832776,199.665551839465,-4.07583882597469,1.76923076923077
半年線,723.0,457.0,5.46424123163519,408.652173913043,258.304347826087,241.80602006689,152.842809364548,-4.07583882597469,1.76923076923077
那斯達克指數,715.0,551.0,5.14429304341453,404.130434782609,311.434782608696,239.130434782609,184.280936454849,-4.07583882597469,1.76923076923077
晶圓廠,707.0,353.0,5.88215969131356,399.608695652174,199.521739130435,236.454849498328,118.060200668896,-4.07583882597469,1.76923076923077
日圓,704.0,330.0,5.99192065314765,397.913043478261,186.521739130435,235.451505016722,110.367892976589,-4.07583882597469,1.76923076923077
永豐,697.0,522.0,5.21975701702203,393.95652173913,295.04347826087,233.110367892977,174.581939799331,-4.07583882597469,1.76923076923077
緯穎,693.0,575.0,5.05506163025315,391.695652173913,325.0,231.772575250836,192.307692307692,-4.07583882597469,1.76923076923077
電動,692.0,442.0,5.4929513367098,391.130434782609,249.826086956522,231.438127090301,147.826086956522,-4.07583882597469,1.76923076923077
設廠,684.0,424.0,5.55497509940492,386.608695652174,239.652173913043,228.76254180602,141.80602006689,-4.07583882597469,1.76923076923077
日均線,676.0,331.0,5.95943854562983,382.086956521739,187.086956521739,226.086956521739,110.702341137124,-4.07583882597469,1.76923076923077
財訊,675.0,622.0,4.90935293316045,381.521739130435,351.565217391304,225.752508361204,208.026755852843,-4.07583882597469,1.76923076923077
自營商買,637.0,433.0,5.47549162834101,360.04347826087,244.739130434783,213.04347826087,144.816053511706,-4.07583882597469,1.76923076923077
熊本,634.0,206.0,6.69917331436543,358.347826086957,116.434782608696,212.040133779264,68.8963210702341,-4.07583882597469,1.76923076923077
電子權,628.0,526.0,5.14567732794893,354.95652173913,297.304347826087,210.033444816054,175.919732441472,-4.07583882597469,1.76923076923077
電子權值,622.0,521.0,5.15576531611325,351.565217391304,294.478260869565,208.026755852843,174.247491638796,-4.07583882597469,1.76923076923077
上市櫃,618.0,449.0,5.39682270374949,349.304347826087,253.782608695652,206.688963210702,150.167224080268,-4.07583882597469,1.76923076923077
日收,613.0,484.0,5.26833276646436,346.478260869565,273.565217391304,205.016722408027,161.872909698997,-4.07583882597469,1.76923076923077
弱勢,610.0,482.0,5.27217630807445,344.782608695652,272.434782608696,204.013377926421,161.204013377926,-4.07583882597469,1.76923076923077
盤下,608.0,488.0,5.24985973508057,343.652173913043,275.826086956522,203.344481605351,163.210702341137,-4.07583882597469,1.76923076923077
電動車,604.0,403.0,5.56014254104091,341.391304347826,227.782608695652,202.006688963211,134.782608695652,-4.07583882597469,1.76923076923077
財訊快報,603.0,602.0,4.90020733865912,340.826086956522,340.260869565217,201.672240802676,201.33779264214,-4.07583882597469,1.76923076923077
房市,599.0,235.0,6.439647564322,338.565217391304,132.826086956522,200.334448160535,78.5953177257525,-4.07583882597469,1.76923076923077
系列,597.0,343.0,5.81705726555616,337.434782608696,193.869565217391,199.665551839465,114.715719063545,-4.07583882597469,1.76923076923077
盈餘,595.0,321.0,5.92347702872041,336.304347826087,181.434782608696,198.996655518395,107.357859531773,-4.07583882597469,1.76923076923077
夥伴,592.0,411.0,5.51512303372509,334.608695652174,232.304347826087,197.993311036789,137.458193979933,-4.07583882597469,1.76923076923077
張忠謀,588.0,175.0,6.90851769312559,332.347826086957,98.9130434782609,196.655518394649,58.5284280936455,-4.07583882597469,1.76923076923077
高階,578.0,395.0,5.56480064515035,326.695652173913,223.260869565217,193.311036789298,132.107023411371,-4.07583882597469,1.76923076923077
收盤價,574.0,380.0,5.6235397933175,324.434782608696,214.782608695652,191.973244147157,127.090301003345,-4.07583882597469,1.76923076923077
華碩,572.0,409.0,5.50126183290474,323.304347826087,231.173913043478,191.304347826087,136.789297658863,-4.07583882597469,1.76923076923077
適用,571.0,142.0,7.22607919518081,322.739130434783,80.2608695652174,190.969899665552,47.4916387959866,-4.07583882597469,1.76923076923077
華電,566.0,443.0,5.36440752966512,319.913043478261,250.391304347826,189.297658862876,148.160535117057,-4.07583882597469,1.76923076923077
旗下,565.0,461.0,5.2984098179971,319.347826086957,260.565217391304,188.963210702341,154.180602006689,-4.07583882597469,1.76923076923077
車用,557.0,335.0,5.80904983248266,314.826086956522,189.347826086957,186.28762541806,112.040133779264,-4.07583882597469,1.76923076923077
新低,555.0,371.0,5.64064601564589,313.695652173913,209.695652173913,185.61872909699,124.080267558528,-4.07583882597469,1.76923076923077
大選,554.0,392.0,5.54995072987023,313.130434782609,221.565217391304,185.284280936455,131.103678929766,-4.07583882597469,1.76923076923077
總裁,551.0,414.0,5.45773593007727,311.434782608696,234.0,184.280936454849,138.461538461538,-4.07583882597469,1.76923076923077
日期,542.0,323.0,5.84981884007028,306.347826086957,182.565217391304,181.270903010033,108.026755852843,-4.07583882597469,1.76923076923077
張投信買,530.0,283.0,6.04841912872189,299.565217391304,159.95652173913,177.257525083612,94.6488294314381,-4.07583882597469,1.76923076923077
開發金,530.0,382.0,5.5632319116872,299.565217391304,215.913043478261,177.257525083612,127.759197324415,-4.07583882597469,1.76923076923077
開低走,530.0,434.0,5.35680883201618,299.565217391304,245.304347826087,177.257525083612,145.150501672241,-4.07583882597469,1.76923076923077
總成交,529.0,354.0,5.68510454085057,299.0,200.086956521739,176.923076923077,118.394648829431,-4.07583882597469,1.76923076923077
華航,529.0,371.0,5.60925533754132,299.0,209.695652173913,176.923076923077,124.080267558528,-4.07583882597469,1.76923076923077
處理器,529.0,304.0,5.93133546704234,299.0,171.826086956522,176.923076923077,101.672240802676,-4.07583882597469,1.76923076923077
整合,528.0,358.0,5.66568428718595,298.434782608696,202.347826086957,176.588628762542,119.732441471572,-4.07583882597469,1.76923076923077
環境,528.0,406.0,5.46226837594672,298.434782608696,229.478260869565,176.588628762542,135.785953177258,-4.07583882597469,1.76923076923077
交易所,526.0,392.0,5.51655768102448,297.304347826087,221.565217391304,175.919732441472,131.103678929766,-4.07583882597469,1.76923076923077
業界,524.0,375.0,5.58571983841658,296.173913043478,211.95652173913,175.250836120401,125.418060200669,-4.07583882597469,1.76923076923077
航空,522.0,314.0,5.86986407760385,295.04347826087,177.478260869565,174.581939799331,105.016722408027,-4.07583882597469,1.76923076923077
團隊,517.0,339.0,5.73971628401583,292.217391304348,191.608695652174,172.909698996656,113.377926421405,-4.07583882597469,1.76923076923077
公債,509.0,318.0,5.83219314953089,287.695652173913,179.739130434783,170.234113712375,106.354515050167,-4.07583882597469,1.76923076923077
證交所,508.0,322.0,5.81073113174175,287.130434782609,182.0,169.899665551839,107.692307692308,-4.07583882597469,1.76923076923077
架構,500.0,336.0,5.73155235194754,282.608695652174,189.913043478261,167.224080267559,112.374581939799,-4.07583882597469,1.76923076923077
營業,498.0,299.0,5.91618674325503,281.478260869565,169.0,166.555183946488,100.0,-4.07583882597469,1.76923076923077
處分,498.0,198.0,6.57801297182317,281.478260869565,111.913043478261,166.555183946488,66.2207357859532,-4.07583882597469,1.76923076923077
摩根,498.0,275.0,6.05053849137058,281.478260869565,155.434782608696,166.555183946488,91.9732441471572,-4.07583882597469,1.76923076923077
績效,498.0,278.0,6.03311676926543,281.478260869565,157.130434782609,166.555183946488,92.9765886287626,-4.07583882597469,1.76923076923077
餘額,496.0,257.0,6.15632399887919,280.347826086957,145.260869565217,165.886287625418,85.9531772575251,-4.07583882597469,1.76923076923077
首季,495.0,284.0,5.99457262268451,279.782608695652,160.521739130435,165.551839464883,94.9832775919732,-4.07583882597469,1.76923076923077
中東,494.0,328.0,5.76208469436207,279.217391304348,185.391304347826,165.217391304348,109.698996655518,-4.07583882597469,1.76923076923077
電力,494.0,267.0,6.09216567300298,279.217391304348,150.913043478261,165.217391304348,89.2976588628762,-4.07583882597469,1.76923076923077
劉德音,492.0,157.0,6.94066982412896,278.086956521739,88.7391304347826,164.548494983278,52.5083612040134,-4.07583882597469,1.76923076923077
玉山,487.0,346.0,5.66685706299848,275.260869565217,195.565217391304,162.876254180602,115.71906354515,-4.07583882597469,1.76923076923077
中市,486.0,339.0,5.69820926763374,274.695652173913,191.608695652174,162.541806020067,113.377926421405,-4.07583882597469,1.76923076923077
觀光,485.0,314.0,5.81945145845364,274.130434782609,177.478260869565,162.207357859532,105.016722408027,-4.07583882597469,1.76923076923077
製造業,484.0,314.0,5.81803616064803,273.565217391304,177.478260869565,161.872909698997,105.016722408027,-4.07583882597469,1.76923076923077
散戶,469.0,241.0,6.21831253161664,265.086956521739,136.217391304348,156.85618729097,80.6020066889632,-4.07583882597469,1.76923076923077
平倉,467.0,191.0,6.58570996703904,263.95652173913,107.95652173913,156.1872909699,63.8795986622074,-4.07583882597469,1.76923076923077
獨立,466.0,346.0,5.63743874568824,263.391304347826,195.565217391304,155.852842809364,115.71906354515,-4.07583882597469,1.76923076923077
點成交量,466.0,360.0,5.5742456552897,263.391304347826,203.478260869565,155.852842809364,120.401337792642,-4.07583882597469,1.76923076923077
貨櫃,464.0,325.0,5.73427083319422,262.260869565217,183.695652173913,155.183946488294,108.695652173913,-4.07583882597469,1.76923076923077
合併營收,458.0,258.0,6.09248232428392,258.869565217391,145.826086956522,153.177257525084,86.2876254180602,-4.07583882597469,1.76923076923077
韓國,458.0,266.0,6.04393218013036,258.869565217391,150.347826086957,153.177257525084,88.9632107023411,-4.07583882597469,1.76923076923077
價差,455.0,236.0,6.22932572622385,257.173913043478,133.391304347826,152.173913043478,78.9297658862876,-4.07583882597469,1.76923076923077
創辦人,453.0,292.0,5.88798519288631,256.04347826087,165.04347826087,151.505016722408,97.6588628762542,-4.07583882597469,1.76923076923077
停板,450.0,331.0,5.68443824375926,254.347826086957,187.086956521739,150.501672240803,110.702341137124,-4.07583882597469,1.76923076923077
下台,449.0,405.0,5.36289937081882,253.782608695652,228.913043478261,150.167224080268,135.451505016722,-4.07583882597469,1.76923076923077
美光,445.0,318.0,5.74037234894413,251.521739130435,179.739130434783,148.829431438127,106.354515050167,-4.07583882597469,1.76923076923077
未平倉,443.0,170.0,6.7290366244548,250.391304347826,96.0869565217391,148.160535117057,56.8561872909699,-4.07583882597469,1.76923076923077
聯詠,443.0,280.0,5.93882771837578,250.391304347826,158.260869565217,148.160535117057,93.6454849498327,-4.07583882597469,1.76923076923077
日報,443.0,284.0,5.91636474575985,250.391304347826,160.521739130435,148.160535117057,94.9832775919732,-4.07583882597469,1.76923076923077
站穩,441.0,368.0,5.50306949675779,249.260869565217,208.0,147.491638795987,123.076923076923,-4.07583882597469,1.76923076923077
轉型,440.0,279.0,5.93968269938074,248.695652173913,157.695652173913,147.157190635451,93.3110367892977,-4.07583882597469,1.76923076923077
仁寶,438.0,342.0,5.61447110282932,247.565217391304,193.304347826087,146.488294314381,114.38127090301,-4.07583882597469,1.76923076923077
權重,434.0,186.0,6.57049184304288,245.304347826087,105.130434782609,145.150501672241,62.2073578595318,-4.07583882597469,1.76923076923077
總成交值,433.0,275.0,5.95113474185126,244.739130434783,155.434782608696,144.816053511706,91.9732441471572,-4.07583882597469,1.76923076923077
實現,431.0,334.0,5.64104440056852,243.608695652174,188.782608695652,144.147157190635,111.705685618729,-4.07583882597469,1.76923076923077
生成,428.0,260.0,6.03133959126623,241.913043478261,146.95652173913,143.14381270903,86.9565217391304,-4.07583882597469,1.76923076923077
訊號,428.0,294.0,5.83751497530221,241.913043478261,166.173913043478,143.14381270903,98.3277591973244,-4.07583882597469,1.76923076923077
美系,425.0,221.0,6.28236150330128,240.217391304348,124.913043478261,142.140468227425,73.9130434782609,-4.07583882597469,1.76923076923077
佈局,425.0,337.0,5.61750412525008,240.217391304348,190.478260869565,142.140468227425,112.709030100335,-4.07583882597469,1.76923076923077
保守,424.0,343.0,5.58811926685213,239.652173913043,193.869565217391,141.80602006689,114.715719063545,-4.07583882597469,1.76923076923077
換算,421.0,217.0,6.30400050146373,237.95652173913,122.652173913043,140.802675585284,72.5752508361204,-4.07583882597469,1.76923076923077
終場下,416.0,326.0,5.6552720569749,235.130434782609,184.260869565217,139.130434782609,109.030100334448,-4.07583882597469,1.76923076923077
恐慌,416.0,283.0,5.87759717486745,235.130434782609,159.95652173913,139.130434782609,94.6488294314381,-4.07583882597469,1.76923076923077
尚未,416.0,369.0,5.46053311048527,235.130434782609,208.565217391304,139.130434782609,123.411371237458,-4.07583882597469,1.76923076923077
補助,415.0,175.0,6.63116136392071,234.565217391304,98.9130434782609,138.795986622074,58.5284280936455,-4.07583882597469,1.76923076923077
美國經濟,415.0,336.0,5.60616389261364,234.565217391304,189.913043478261,138.795986622074,112.374581939799,-4.07583882597469,1.76923076923077
時代,414.0,309.0,5.73612975444775,234.0,174.652173913043,138.461538461538,103.344481605351,-4.07583882597469,1.76923076923077
累積,413.0,313.0,5.71426593706442,233.434782608696,176.913043478261,138.127090301003,104.682274247492,-4.07583882597469,1.76923076923077
分類,413.0,241.0,6.12477496518131,233.434782608696,136.217391304348,138.127090301003,80.6020066889632,-4.07583882597469,1.76923076923077
玉山金,413.0,312.0,5.7192911802463,233.434782608696,176.347826086957,138.127090301003,104.347826086957,-4.07583882597469,1.76923076923077
